Zone,District,Upazilla,Union,THACODE,Mouza,Village,Weight
West,Khulna,Dacope,,404717,*Banishanta,Dakshin Banishanta,0.007255888
West,Khulna,Dacope,,404717,*Banishanta,Banishanta Bazar,0.008475532
West,Khulna,Dacope,,404717,*Banishanta,Purba Banishanta(Pross),0.009113701
West,Khulna,Dacope,,404717,*Banishanta,Purba Dangmari,0.007291802
West,Khulna,Dacope,,404717,*Banishanta,Purba Bhojankhali,0.007987459
West,Khulna,Dacope,,404717,*Banishanta,Paschim Bhojankhali,0.008657487
West,Khulna,Dacope,,404717,*Banishanta,Purba Khejuria,0.007268862
West,Khulna,Dacope,,404717,*Banishanta,Paschim Khejuria,0.007334469
West,Khulna,Dacope,,404717,*Banishanta,Patikhata,0.009036045
West,Khulna,Dacope,,404717,*Banishanta,Paschim Dangmari,0.007395551
West,Khulna,Dacope,  Laudubi Union Total,404717,*Laudubi,Khuthakhali Bazar,0.007540867
West,Khulna,Dacope,,404717,*Laudubi,Khuthakhali,0.00725871
West,Khulna,Dacope,,404717,*Laudubi,Laudubi Pasharer Dhar,0.007656455
West,Khulna,Dacope,,404717,*Laudubi,Laudubi,0.007425543
West,Khulna,Dacope,,404717,*Laudubi,Kalikabati,0.007622412
West,Khulna,Dacope,,404717,*Laudubi,Barabak,0.007701437
West,Khulna,Dacope,,404717,*Laudubi,Burir Dabar,0.008456727
West,Khulna,Dacope,,404717,*Laudubi,Harintani,0.008710373
West,Khulna,Dacope,  Dacope Union Total,404717,*Dacope,Dacope-2,0.007274538
West,Khulna,Dacope,,404717,*Dacope,Singjora,0.008078776
West,Khulna,Dacope,,404717,*Dacope,Madia,0.007724438
West,Khulna,Dacope,,404717,*Dacope,Chhota Bunia,0.00778469
West,Khulna,Dacope,,404717,*Dacope,Dakshin Dacope,0.007869476
West,Khulna,Dacope,,404717,*Saheberabad,Saheberabad,0.007090167
West,Khulna,Dacope,,404717,*Saheberabad,Odabunia,0.00788097
West,Khulna,Dacope,,404717,*Saheberabad,Bhadla Bunia,0.009297542
West,Khulna,Dacope,,404717,*Saheberabad,Kakrabunia,0.008812992
West,Khulna,Dacope,  Kailasganj Union Total,404717,*Dhopadihi,Dhopadihi,0.007032851
West,Khulna,Dacope,,404717,*Dhopadihi,Ramnagar,0.007023137
West,Khulna,Dacope,,404717,*Harintani,Harintani,0.007004002
West,Khulna,Dacope,,404717,*Kailashganj-2,Kailashganj-2,0.006902908
West,Khulna,Dacope,  Kamarkhola Union Total,404717,*Kamarkhola,Kamarkhola,0.007102446
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Channir Chak,0.008184608
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Jaliakhali,0.007633665
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Sreenagar,0.007224488
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Satgharia,0.007494636
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Bhitabhanga,0.007564319
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Shibnagar,0.00830161
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Joynagar,0.007173708
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Saharabad,0.007594632
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Rajnagar,0.010671587
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Kalinagar,0.007365177
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Par Joynagar,0.007156095
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Rekhamari,0.009859632
West,Khulna,Dacope,,404717,*Sreenagar Kalinagar,Fakirdanga,0.011028456
West,Khulna,Dacope,  Pankhali Union Total,404717,*Baruikhali,Baruikhali,0.007193133
West,Khulna,Dacope,,404717,*Khatali,Khatali,0.007151828
West,Khulna,Dacope,,404717,*Khona,Khona,0.007011089
West,Khulna,Dacope,,404717,*Lakshmikhola,Kamarabad,0.007575649
West,Khulna,Dacope,,404717,*Lakshmikhola,Lakshmikhola,0.007047962
West,Khulna,Dacope,,404717,*Maukhali,Maukhali,0.007036653
West,Khulna,Dacope,,404717,*Pankhali,Pankhali (Part),0.006879762
West,Khulna,Dacope,,404717,*Pankhali,Hoglabunia,0.007400685
West,Khulna,Dacope,,404717,*Pankhali,Katabunia,0.007865762
West,Khulna,Dacope,  Sutarkhali Union Total,404717,*Gunari,Gunari,0.006902632
West,Khulna,Dacope,,404717,*Kalabagi Sutarkhali,Kalabagi Sutarkhali,0.006832168
West,Khulna,Dacope,,404717,*Nalian,Nalian,0.006897629
West,Khulna,Dacope,,404717,*Sutarkhali,Sutarkhali,0.006937167
West,Khulna,Dacope,  Tildanga Union Total,404717,*Chak Batbunia,Batbunia,0.007033803
West,Khulna,Dacope,,404717,*Chak Batbunia,Badalbunia,0.007969268
West,Khulna,Dacope,,404717,*Chak Batbunia,Joynagar,0.00826633
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Kaminibasi,0.007408857
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Raskholarpar,0.007210063
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Nishankhali,0.007677376
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Datta Chak,0.007213805
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Kakrabunia-3,0.007926054
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Arakhali,0.007400522
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Tentultala,0.007566237
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Uder Para,0.007391172
West,Khulna,Dacope,,404717,*Chak Kaminibasi,Chhota Batbunia,0.007895404
West,Khulna,Dacope,,404717,*Garkhali,Naldanga,0.007456025
West,Khulna,Dacope,,404717,*Garkhali,Andhar Manik,0.007985713
West,Khulna,Dacope,,404717,*Garkhali,Humakhali,0.007529028
West,Khulna,Dacope,,404717,*Garkhali,Garkhali,0.008200581
West,Khulna,Dacope,,404717,*Garkhali,Satyapir,0.008309194
West,Khulna,Dacope,,404717,*Garkhali,Sardar Para,0.008824703
West,Khulna,Dacope,,404717,*Garkhali,Kakrabunia,0.007219782
West,Khulna,Dacope,,404717,*Garkhali,Chhota Balia,0.007364873
West,Khulna,Dacope,,404717,*Tildanga,Chardanga,0.01131247
West,Khulna,Dacope,,404717,*Tildanga,Mashamari,0.007868986
West,Khulna,Dacope,,404717,*Tildanga,Bansh Talardanga,0.007712314
West,Khulna,Dacope,,404717,*Tildanga,Majherdanga,0.008561096
West,Khulna,Dacope,,404717,*Tildanga,Guchchhagram,0.011511559
West,Khulna,Dacope,,404717,*Tildanga,Tildanga,0.008058662
West,Khulna,Dacope,,404717,  Khulna Range Union Total,Nalina Range,0.034787238
West,Khulna,Dacope,  Aranghata Union Total,404717,*Aranghata,Aranghata,0.03637022
West,Khulna,Dacope,,404717,*Aranghata,Sarderdanga,0.126991914
West,Khulna,Dacope,,404717,*Aranghata,Gaikur,0.035201203
West,Khulna,Dacope,,404717,*Deana (Part)(Biddaman),Deana (Part)(Biddaman),0.017277919
West,Khulna,Dumuria,  Atlia Union Total,404730,*Atlia,Atlia,0.004870186
West,Khulna,Dumuria,,404730,*Boyarsinga,Boyarsinga,0.003542458
West,Khulna,Dumuria,,404730,*Boyarsinga,Putimari,0.003921788
West,Khulna,Dumuria,,404730,*Boyarsinga,Andhar Manik,0.00370542
West,Khulna,Dumuria,,404730,*Boyarsinga,Khalsibunia,0.004894263
West,Khulna,Dumuria,,404730,*Boyarsinga,Chhota Murabunia,0.004198323
West,Khulna,Dumuria,,404730,*Boyarsinga,Sondar Bunia,0.003898634
West,Khulna,Dumuria,,404730,*Boyarsinga,Golapdha,0.003698471
West,Khulna,Dumuria,,404730,*Boyarsinga,Durgatuni,0.005896395
West,Khulna,Dumuria,,404730,*Boyarsinga,Bara Chanmari,0.00406035
West,Khulna,Dumuria,,404730,*Boyarsinga,Bara Murabunia,0.003781557
West,Khulna,Dumuria,,404730,*Chakundia,Chakundia,0.003683059
West,Khulna,Dumuria,,404730,*Chuknagar,Chuknagar,0.003661958
